date,value
2000,-1.585
2001,-3.025
2002,-3.875
2003,-3.704
2004,-3.334
2005,-3.319
2006,-1.653
2007,0.261
2008,-0.116
2009,-3.151
2010,-4.379
2011,-0.881
2012,0.009
2013,0.04
2014,0.58
2015,0.943
2016,1.184
2017,1.242
2018,1.867
2019,1.449
