date,value
2000,102.7188798
2001,100.6837345
2002,98.10383665
2003,97.04918433
2004,94.49676991
2005,94.64813343
2006,93.07414207
2007,89.41253637
2008,88.88375869
2009,89.54519983
2010,88.99729648
2011,90.49923356
2012,92.32395161
2013,93.92498203
2014,96.00020557
2015,100
2016,106.788772
2017,111.6563084
2018,117.3565276
2019,121.9372266
