date,value
2000,84.23
2001,85.66
2002,85.49
2003,84.88
2004,85.89
2005,86.51
2006,89.81
2007,92.49
2008,93.38
2009,88.06
2010,91.74
2011,95.34
2012,95.74
2013,96.15
2014,98.29
2015,100
2016,102.23
2017,104.75
2018,106.35
2019,106.95
